start_s,end_s,vertiport,waiting_passengers
40236.99661748845,40279.41254870017,LYBE,3
40279.41254870017,40695.0944729708,LYBE,4
40695.0944729708,40717.74549335208,LYBE,5
40717.74549335208,40762.204271290444,LYBE,6
40730.614492476954,45359.22877864132,BW,2
40762.204271290444,40827.82321664837,LYBE,7
40827.82321664837,41065.35375988457,LYBE,4
41065.35375988457,41090.3865796443,LYBE,5
41090.3865796443,41136.99661748845,LYBE,6
41136.99661748845,41374.0585742283,LYBE,5
41374.0585742283,41579.644645672226,LYBE,3
41579.644645672226,41627.874469990966,LYBE,4
41627.874469990966,41783.42784064837,LYBE,5
41783.42784064837,41990.3865796443,LYBE,3
41990.3865796443,42155.04255394638,LYBE,2
42155.04255394638,42157.87258100324,LYBE,3
42157.87258100324,42180.6929316628,LYBE,4
42180.6929316628,42255.118600744354,LYBE,5
42255.118600744354,42738.74354829694,LYBE,6
42694.94395632018,44669.80393560377,LYBV,1
42738.74354829694,42827.66826148845,LYBE,7
42827.66826148845,42849.705429025074,LYBE,6
42849.705429025074,42855.02432728561,LYBE,7
42855.02432728561,43047.96947061337,LYBE,8
43047.96947061337,43053.61335618655,LYBE,9
43053.61335618655,43196.70292871169,LYBE,10
43196.70292871169,43472.39818858472,LYBE,6
43472.39818858472,43882.46417264132,LYBE,7
43809.13701839535,47083.624441663545,JUG,1
43882.46417264132,44036.613246605826,LYBE,3
44036.613246605826,44422.46417264132,LYBE,4
44422.46417264132,44462.46417264132,LYBE,3
44462.46417264132,44605.380266477965,LYBE,1
44605.380266477965,44936.613246605826,LYBE,2
44669.80393560377,47210.40044471329,LYBV,2
44936.613246605826,45334.32674786566,LYBE,1
45334.32674786566,45505.380266477965,LYBE,2
45359.22877864132,46154.27015562746,BW,0
45505.380266477965,46234.32674786566,LYBE,1
46154.27015562746,47054.27015562746,BW,1
46234.32674786566,46745.56795234651,LYBE,0
46745.56795234651,46758.296961670974,LYBE,1
46758.296961670974,46847.60549599241,LYBE,2
46847.60549599241,47133.05916909178,LYBE,3
47054.27015562746,47301.153769267185,BW,0
47083.624441663545,49149.79057519288,JUG,0
47133.05916909178,47531.66902111498,LYBE,4
47210.40044471329,49893.98572454773,LYBV,0
47301.153769267185,47855.89531905467,BW,1
47531.66902111498,47760.10597762746,LYBE,5
47760.10597762746,47840.49049350917,LYBE,3
47840.49049350917,47865.59531838536,LYBE,4
47855.89531905467,49593.990616869174,BW,2
