scenario,fleet_size,origin,destination,metric,n,mean,std,ci_low,ci_high,confidence
low,4,LYBE,DOR,journey_duration_min_max,2,46.070694561380876,4.595726421142533,4.779730896390362,87.36165822637139,0.95
low,4,LYBE,DOR,journey_duration_min_mean,2,31.13751255814031,2.0278042838508603,12.918413914887722,49.356611201392894,0.95
low,4,LYBE,DOR,journey_duration_min_p95,2,38.54240399863323,6.241952477248234,-17.539313953711535,94.62412195097801,0.95
low,4,LYBE,DOR,on_time_passengers,2,17.5,2.1213203435596424,-1.5593071042619862,36.55930710426199,0.95
low,4,LYBE,DOR,wait_to_boarding_min_max,2,26.960078878816418,2.588408825177079,3.704148269274853,50.21600948835798,0.95
low,4,LYBE,DOR,wait_to_boarding_min_mean,2,14.561382401633853,1.5596827871789063,0.5481885356889755,28.57457626757873,0.95
low,4,LYBE,DOR,wait_to_boarding_min_p95,2,19.805460516271072,2.455221448900422,-2.2538289944498935,41.86475002699204,0.95
low,4,LYBE,EXPO,boarded_passengers,2,8.0,4.242640687119285,-30.118614208523972,46.11861420852397,0.95
low,4,LYBE,EXPO,completed_journeys,2,8.0,4.242640687119285,-30.118614208523972,46.11861420852397,0.95
low,4,LYBE,EXPO,extra_after_boarding_min_max,2,0.8408572092293374,1.1891516693113202,-9.843246645127076,11.524961063585751,0.95
low,4,LYBE,EXPO,extra_after_boarding_min_mean,2,0.24503694457808073,0.3465345703047862,-2.868452641157695,3.3585265303138567,0.95
low,4,LYBE,EXPO,extra_after_boarding_min_p95,2,0.816494313407687,1.1546973316216593,-9.558049598672739,11.191038225488114,0.95
low,4,LYBE,EXPO,fraction_boarding_within_wait_limit,2,0.7090909090909091,0.15427784316797405,-0.6770405166735994,2.0952223348554178,0.95
low,4,LYBE,EXPO,generated_passengers,2,8.0,4.242640687119285,-30.118614208523972,46.11861420852397,0.95
low,4,LYBE,EXPO,journey_duration_min_max,2,40.155844758722985,8.008155991269572,-31.794582172234804,112.10627168968077,0.95
low,4,LYBE,EXPO,journey_duration_min_mean,2,28.04336718579794,2.8424559983235325,2.5049132851993967,53.58182108639649,0.95
low,4,LYBE,EXPO,journey_duration_min_p95,2,38.2730077952189,8.265962909468588,-35.993722395864694,112.5397379863025,0.95
low,4,LYBE,EXPO,on_time_passengers,2,6.0,4.242640687119285,-32.11861420852397,44.11861420852397,0.95
low,4,LYBE,EXPO,wait_to_boarding_min_max,2,28.4926733744703,10.790099920989952,-68.45252809129711,125.43787484023771,0.95
low,4,LYBE,EXPO,wait_to_boarding_min_mean,2,16.478653910916833,1.4970768885528636,3.0279517271333454,29.92935609470032,0.95
low,4,LYBE,EXPO,wait_to_boarding_min_p95,2,26.70297351514456,9.586830334669086,-59.43127964451999,112.83722667480912,0.95
