scenario,fleet_size,aircraft_id,activity,metric,n,mean,std,ci_low,ci_high,confidence
low,4,EVTOL_001,takeoff,fraction_of_observed_time,2,0.030434413897123296,0.0015737922952505153,0.016294451130741815,0.04457437666350478,0.95
low,4,EVTOL_001,takeoff,minutes,2,50.0,1.88561808316413,33.05839368510043,66.94160631489957,0.95
low,4,EVTOL_001,waiting_for_departure,fraction_of_observed_time,2,0.01500087408529567,0.0024444082570950773,-0.006961262751610117,0.03696301092220146,0.95
low,4,EVTOL_001,waiting_for_departure,minutes,2,24.625377687840697,3.6718664272046597,-8.365033258055753,57.61578863373715,0.95
low,4,EVTOL_002,boarding,fraction_of_observed_time,2,0.0986115459688076,0.005179568805069937,0.05207496660530155,0.14514812533231364,0.95
low,4,EVTOL_002,boarding,minutes,2,162.12499999999997,10.783378413094809,65.24018888666858,259.00981111333135,0.95
low,4,EVTOL_002,charging_overlay,fraction_of_observed_time,2,0.5359509424007869,0.03507808067189456,0.22078689177378746,0.8511149930277864,0.95
low,4,EVTOL_002,charging_overlay,minutes,2,881.224518414469,69.99213487672354,252.370136496883,1510.0789003320551,0.95
low,4,EVTOL_002,cleaning,fraction_of_observed_time,2,0.036451355819441235,0.008094268138716745,-0.036272758060112494,0.10917546969899497,0.95
low,4,EVTOL_002,cleaning,minutes,2,60.0,14.142135623730951,-67.0620473617466,187.06204736174658,0.95
low,4,EVTOL_002,cruise,fraction_of_observed_time,2,0.17528091691699832,0.01180719055650138,0.06919751865133006,0.2813643151826666,0.95
low,4,EVTOL_002,cruise,minutes,2,288.2053129500001,23.441291316971743,77.59366653504509,498.81695936495515,0.95
low,4,EVTOL_002,departure_finalization,fraction_of_observed_time,2,0.03951811082818909,0.004609282611519307,-0.0018946503749899327,0.08093087203136812,0.95
low,4,EVTOL_002,departure_finalization,minutes,2,64.99999999999993,8.485281374238676,-11.237228417048968,141.2372284170488,0.95
low,4,EVTOL_002,disembarking,fraction_of_observed_time,2,0.06852620323383682,0.0025248325511578727,0.04584148278345654,0.0912109236842171,0.95
low,4,EVTOL_002,disembarking,minutes,2,112.65,5.727564927611041,61.18987081849258,164.11012918150743,0.95
low,4,EVTOL_002,idle,fraction_of_observed_time,2,0.49476676694882266,0.0355902766468033,0.17500081806869494,0.8145327158289504,0.95
low,4,EVTOL_002,idle,minutes,2,812.7257584361755,47.09778420949052,389.5689561624304,1235.8825607099207,0.95
low,4,EVTOL_002,landing,fraction_of_observed_time,2,0.03951811082818914,0.004609282611519238,-0.0018946503749892665,0.08093087203136753,0.95
low,4,EVTOL_002,landing,minutes,2,65.0,8.48528137423857,-11.237228417047945,141.23722841704796,0.95
low,4,EVTOL_002,takeoff,fraction_of_observed_time,2,0.026345407218792756,0.003072855074346158,-0.001263100249992842,0.053953914687578354,0.95
low,4,EVTOL_002,takeoff,minutes,2,43.333333333333336,5.656854249492381,-7.491485611365299,94.15815227803196,0.95
low,4,EVTOL_002,waiting_for_departure,fraction_of_observed_time,2,0.020981582236922307,0.004307003702027237,-0.01771531071720045,0.05967847519104506,0.95
low,4,EVTOL_002,waiting_for_departure,minutes,2,34.43306024244151,6.595262578334688,-24.823023024453043,93.68914350933608,0.95
low,4,EVTOL_003,boarding,fraction_of_observed_time,2,0.08684770432154706,0.0015797044903119817,0.0726546225900461,0.10104078605304803,0.95
low,4,EVTOL_003,boarding,minutes,2,142.74999999999997,4.596194077712519,101.4548346074327,184.04516539256724,0.95
