scenario,fleet_size,stage,scope,causes,metric,n,mean,std,ci_low,ci_high,confidence
low,4,before_boarding,selected_plan,cleaning|group_formation,late_passengers_exposed,2,12.0,4.242640687119285,-26.118614208523972,50.11861420852397,0.95
low,4,before_boarding,selected_plan,cleaning|group_formation,observed_passenger_minutes,2,123.43742097487304,45.39915161355252,-284.45777293237416,531.3326148821202,0.95
low,4,before_boarding,selected_plan,cleaning|group_formation,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,departure_preparation,exposed_passengers,2,26.0,16.97056274847714,-126.47445683409589,178.4744568340959,0.95
low,4,before_boarding,selected_plan,departure_preparation,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,departure_preparation,fraction_of_late_passengers_exposed,2,0.3638461538461538,0.2034291816644375,-1.4638925274343544,2.1915848351266622,0.95
low,4,before_boarding,selected_plan,departure_preparation,late_passengers_blocked_after_limit,2,18.0,14.142135623730951,-109.0620473617466,145.06204736174658,0.95
low,4,before_boarding,selected_plan,departure_preparation,late_passengers_exposed,2,22.0,15.556349186104045,-117.76825209792122,161.76825209792122,0.95
low,4,before_boarding,selected_plan,departure_preparation,observed_passenger_minutes,2,24.440577657833515,15.308061830215124,-113.09690105389966,161.97805636956667,0.95
low,4,before_boarding,selected_plan,departure_preparation,overdue_passenger_minutes,2,17.033901436577132,13.047293586497885,-100.19138049667905,134.25918336983332,0.95
low,4,before_boarding,selected_plan,departure_preparation|group_formation,exposed_passengers,2,100.5,14.849242404917497,-32.9151497298339,233.9151497298339,0.95
low,4,before_boarding,selected_plan,departure_preparation|group_formation,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,departure_preparation|group_formation,fraction_of_late_passengers_exposed,2,0.36230769230769233,0.03154784100678443,0.07886158665456539,0.6457537979608192,0.95
low,4,before_boarding,selected_plan,departure_preparation|group_formation,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,departure_preparation|group_formation,late_passengers_exposed,2,21.0,5.656854249492381,-29.824818944698634,71.82481894469863,0.95
low,4,before_boarding,selected_plan,departure_preparation|group_formation,observed_passenger_minutes,2,98.49010210827294,13.78834650635651,-25.393276148330216,222.3734803648761,0.95
low,4,before_boarding,selected_plan,departure_preparation|group_formation,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,destination_tlof,exposed_passengers,2,6.5,2.1213203435596424,-12.559307104261986,25.559307104261986,0.95
low,4,before_boarding,selected_plan,destination_tlof,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,destination_tlof,fraction_of_late_passengers_exposed,2,0.09615384615384616,0.005439282932204212,0.04728382793778978,0.14502386436990256,0.95
low,4,before_boarding,selected_plan,destination_tlof,late_passengers_blocked_after_limit,2,3.5,0.7071067811865476,-2.8531023680873293,9.85310236808733,0.95
low,4,before_boarding,selected_plan,destination_tlof,late_passengers_exposed,2,5.5,0.7071067811865476,-0.8531023680873293,11.85310236808733,0.95
low,4,before_boarding,selected_plan,destination_tlof,observed_passenger_minutes,2,6.22473268361285,0.5610854991300822,1.183579482902176,11.265885884323524,0.95
low,4,before_boarding,selected_plan,destination_tlof,overdue_passenger_minutes,2,3.0469069853713338,0.4595964037577064,-1.0824028710238798,7.176216841766547,0.95
low,4,before_boarding,selected_plan,destination_tlof|group_formation,exposed_passengers,2,5.5,3.5355339059327378,-26.26551184043665,37.265511840436645,0.95
low,4,before_boarding,selected_plan,destination_tlof|group_formation,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,destination_tlof|group_formation,fraction_of_late_passengers_exposed,2,0.025384615384615387,0.007614996105085897,-0.04303341011786354,0.09380264088709431,0.95
low,4,before_boarding,selected_plan,destination_tlof|group_formation,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,destination_tlof|group_formation,late_passengers_exposed,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,before_boarding,selected_plan,destination_tlof|group_formation,observed_passenger_minutes,2,4.7073242724013955,2.2444825585657893,-15.458551430313905,24.873199975116698,0.95
low,4,before_boarding,selected_plan,destination_tlof|group_formation,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,group_formation,exposed_passengers,2,157.5,14.849242404917497,24.0848502701661,290.9151497298339,0.95
low,4,before_boarding,selected_plan,group_formation,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,group_formation,fraction_of_late_passengers_exposed,2,0.045384615384615384,0.020669275142376,-0.14032145383639882,0.2310906846056296,0.95
low,4,before_boarding,selected_plan,group_formation,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,group_formation,late_passengers_exposed,2,2.5,0.7071067811865476,-3.8531023680873293,8.85310236808733,0.95
low,4,before_boarding,selected_plan,group_formation,observed_passenger_minutes,2,1161.2279757474098,34.94364841010496,847.271751071803,1475.1842004230166,0.95
low,4,before_boarding,selected_plan,group_formation,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,group_formation|origin_tlof,exposed_passengers,2,9.0,4.242640687119285,-29.118614208523972,47.11861420852397,0.95
low,4,before_boarding,selected_plan,group_formation|origin_tlof,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
