scenario,fleet_size,vertiport,resource_kind,metric,n,mean,std,ci_low,ci_high,confidence
low,4,JUG,cleaner,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,JUG,cleaner,utilization,2,0.009158059336610343,0.0044308417323579005,-0.030651474175750034,0.04896759284897072,0.95
low,4,JUG,movement,busy_unit_minutes,2,50.33333333333333,2.3570226039551603,29.156325439708883,71.51034122695778,0.95
low,4,JUG,movement,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,JUG,movement,fully_occupied_minutes,2,50.33333333333333,2.3570226039551603,29.156325439708883,71.51034122695778,0.95
low,4,JUG,movement,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,JUG,movement,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,JUG,movement,utilization,2,0.03061916824254425,0.001005128932579138,0.02158844307952683,0.03964989340556167,0.95
low,4,JUG,stand,busy_unit_minutes,2,473.69415532167363,154.03683435028407,-910.271892127799,1857.6602027711463,0.95
low,4,JUG,stand,capacity,2,2.0,0.0,2.0,2.0,0.95
low,4,JUG,stand,fully_occupied_minutes,2,62.51040026324191,60.727287274477945,-483.10262856899413,608.123429095478,0.95
low,4,JUG,stand,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,JUG,stand,peak_occupied_units,2,2.0,0.0,2.0,2.0,0.95
low,4,JUG,stand,utilization,2,0.14445632045903992,0.04888738083799778,-0.2947793695880797,0.5836920105061595,0.95
low,4,LYBE,charger,busy_unit_minutes,2,1921.37474142462,177.80717068667258,323.8406953547217,3518.908787494518,0.95
low,4,LYBE,charger,capacity,2,6.0,0.0,6.0,6.0,0.95
low,4,LYBE,charger,fully_occupied_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,LYBE,charger,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,LYBE,charger,peak_occupied_units,2,4.0,0.0,4.0,4.0,0.95
low,4,LYBE,charger,utilization,2,0.1947418817923871,0.015302883817848155,0.05725092567597592,0.3322328379087983,0.95
low,4,LYBE,cleaner,busy_unit_minutes,2,105.0,35.35533905932738,-212.65511840436642,422.6551184043664,0.95
